TimeStamp,ECG Data,GSR Data
8540,250,426
8551,401,427
8562,253,426
8573,391,427
8584,270,426
8595,351,426
8606,313,426
8617,299,426
8628,339,426
8639,266,426
8650,378,427
8662,252,426
8673,389,427
8684,280,426
8695,364,427
8706,324,426
8717,324,426
8728,392,427
8739,319,426
8750,416,427
8761,270,426
8772,363,427
8783,218,426
8794,337,427
8805,245,426
8816,286,427
8827,301,426
8838,259,426
8849,330,427
8860,141,426
8871,378,427
8882,606,426
8893,670,427
8904,644,427
8915,107,427
8926,59,426
8937,167,427
8948,202,426
8960,136,426
8971,265,427
8982,193,426
8993,329,427
9004,222,426
9015,320,426
9026,276,426
9037,286,426
9048,337,427
9059,266,426
9070,395,427
9081,289,426
9092,445,427
9103,330,426
9114,457,427
9125,403,426
9136,455,427
9147,451,426
9158,395,426
9169,455,427
9180,274,426
9191,344,427
9202,144,426
9213,216,427
9224,94,426
9235,171,426
9246,139,426
9257,145,426
9268,199,426
9279,143,426
9290,269,426
9302,154,426
9313,319,426
9324,219,426
9335,284,427
9346,261,426
9357,268,427
9368,304,426
9379,221,426
9390,339,427
9401,226,426
9412,371,427
9423,250,426
9434,360,426
9445,268,426
9456,308,427
9467,319,426
9478,272,426
9489,350,427
9500,229,426
9511,391,427
9522,246,426
9533,382,427
9544,271,426
9555,338,427
9566,306,426
9577,296,426
9588,349,427
9600,252,426
9611,396,426
9622,254,426
9633,384,427
9644,266,426
9655,354,427
9666,308,426
9677,299,426
9688,338,426
9699,262,426
9710,378,426
9721,246,426
9732,396,427
9743,265,426
9754,379,426
9765,288,426
9776,339,426
9787,333,427
9798,267,426
9809,370,427
9820,244,426
9831,394,427
9842,286,426
9853,411,427
9864,307,426
9875,401,427
9886,366,427
9897,313,426
9908,315,427
9919,203,426
9930,338,426
9942,212,426
9953,345,427
9964,253,426
9975,318,426
9986,275,427
9997,202,426
10008,294,426
10019,616,426
10030,669,427
10041,671,426
10052,151,426
10063,31,426
10074,234,427
10085,167,426
10096,202,427
10107,237,426
10118,202,426
10129,289,427
10140,197,426
10151,348,426
10162,225,426
10173,365,427
10184,279,426
10195,343,426
10206,321,426
10217,332,426
10228,400,426
10240,321,426
10251,474,427
10262,362,426
10273,505,427
10284,398,426
10295,472,427
10306,398,427
10317,318,426
10328,305,427
10339,157,426
10350,223,426
10361,78,426
10372,214,427
10383,100,426
10394,213,426
10405,161,426
10416,204,426
10427,228,426
10438,182,426
10449,296,427
10460,182,426
10471,332,427
10482,209,426
10493,339,427
10504,245,426
10515,326,427
10526,291,426
10537,253,426
10548,321,427
10559,235,426
10570,363,427
10582,230,426
10593,371,427
10604,268,426
10615,332,427
10626,300,426
10637,282,426
10648,347,427
10659,249,426
10670,375,426
10681,231,426
10692,400,427
10703,270,426
10714,373,427
10725,296,426
10736,314,426
10747,343,426
10758,278,426
10769,365,427
10780,244,426
10791,404,427
10802,258,426
10813,382,427
10824,292,426
10835,329,427
10846,306,426
10857,297,426
10868,359,427
10880,255,426
10891,397,427
10902,257,426
10913,386,427
10924,270,426
10935,355,427
10946,334,426
10957,308,426
10968,361,426
10979,309,427
10990,450,427
11001,282,426
11012,394,427
11023,223,426
11034,311,426
11045,268,426
11056,295,427
11067,306,426
11078,242,426
11089,348,427
11100,172,426
11111,286,427
11122,469,426
11133,659,427
11144,673,426
11155,321,427
11166,26,426
11177,85,426
11188,197,427
11199,121,426
11210,265,426
11222,147,426
11233,320,427
11244,222,426
11255,285,427
11266,279,426
11277,264,426
11288,337,426
11299,251,427
11310,391,427
11321,267,426
11332,449,427
11343,340,426
11354,448,427
11365,389,426
11376,423,427
11387,456,426
11398,394,426
11409,457,427
11420,316,426
11431,375,427
11442,165,426
11453,236,426
11464,122,426
11475,150,426
11486,140,426
11497,134,426
11508,221,427
11520,145,426
11531,277,426
11542,172,426
11553,296,426
11564,209,426
11575,283,427
11586,279,426
